MetroArea,%Unemployed083120
Santa Cruz  ,8.6
Dayton  ,8.7
Harrisburg  ,8.7
Huntington  ,8.7
Mansfield  ,8.7
Niles  ,8.7
Albany  ,8.8
Chambersburg  ,8.8
Jackson  ,8.8
Kankakee  ,8.9
York  ,8.9
Akron  ,9
Chico  ,9
Lebanon  ,9
San Francisco  ,9
ville  ,9.1
Ventura  ,9.1
Rocky Mount  ,9.1
Altoona  ,9.2
Watertown  ,9.2
Beckley  ,9.3
Brownsville  ,9.3
Danville  ,9.3
Kingston  ,9.3
Spokane  ,9.3
Utica  ,9.3
Bellingham  ,9.4
Binghamton  ,9.4
Casper  ,9.4
Lakeland  ,9.4
Longview  ,9.4
Sacramento  ,9.4
Toledo  ,9.4
Elmira  ,9.6
Peoria  ,9.6
Pine Bluff  ,9.6
Waterbury  ,9.6
Hammond  ,9.7
Mount Vernon  ,9.7
New Orleans  ,9.7
Saginaw  ,9.7
Battle Creek  ,9.8
Dover  ,9.8
Syracuse  ,9.8
Charleston  ,9.9
Rochester  ,9.9
San Diego  ,9.9
Wheeling  ,9.9
Madera  ,10
Williamsport  ,10
Yakima  ,10.1
Detroit  ,10.2
Hot Springs  ,10.2
Norwich  ,10.2
Reading  ,10.2
Wichita  ,10.2
Beaumont  ,10.3
Fairfield  ,10.3
Worcester  ,10.3
Cleveland  ,10.4
Allentown  ,10.5
Johnstown  ,10.5
Barnstable Town  ,10.6
Flint  ,10.6
Urban Honolulu  ,10.6
Weirton  ,10.6
Hanford  ,10.7
Yuba City  ,10.7
Boston  ,10.8
Buffalo  ,10.8
Pittsburgh  ,10.8
Fresno  ,10.9
Las Cruces  ,10.9
McAllen  ,10.9
Modesto  ,10.9
Philadelphia  ,10.9
Orlando  ,11
Riverside  ,11
Erie  ,11.1
Ocean City  ,11.1
Odessa  ,11.1
Albuquerque  ,11.2
Decatur  ,11.2
Youngstown  ,11.2
Merced  ,11.3
Rockford  ,11.3
Vineland  ,11.3
Muskegon  ,11.4
Santa Fe  ,11.5
Springfield  ,11.5
Chicago  ,11.7
Pittsfield  ,11.7
Scranton  ,11.7
Memphis  ,11.8
Stockton  ,11.9
Leominster  ,12.6
Providence  ,12.6
East Stroudsburg  ,12.8
New Bedford  ,13
New York  ,13
Bakersfield  ,13.1
Visalia  ,13.1
Farmington  ,13.5
Los Angeles  ,15
Las Vegas  ,15.5
Yuma  ,16.4
Atlantic City  ,17.6
Kahului  ,20.7
El Centro  ,22.9
"Footnotes
		(p) Preliminary() Area boundaries do not reflect official OMB definitions.","Footnotes
		(p) Preliminary(1) Area boundaries do not reflect official OMB definitions."
Note: Rates shown are a percentage of the labor force. Data refer to place of residence. Estimates for the current month are subject to revision the following month.,Note: Rates shown are a percentage of the labor force. Data refer to place of residence. Estimates for the current month are subject to revision the following month.
